gene_id	transcript_id	L01_fpkm	L02_fpkm	L03_fpkm	L04_fpkm	L05_fpkm	L06_fpkm	L07_fpkm	L08_fpkm	L09_fpkm
XLOC_018636	TCONS_00056630	4.38069	4.621207	5.725522	4.687474	5.185069	5.485721	7.394227	7.588593	6.770385
XLOC_018636	TCONS_00056631	1.246408	0.874141	1.378578	0.804339	0.407231	0.712892	1.365507	1.446977	0.977863
XLOC_018638	TCONS_00056633	33.707722	35.561169	35.383884	37.783611	39.700459	33.283833	35.869564	36.232922	40.074966
XLOC_018640	TCONS_00056635	0.789551	1.047615	1.000503	0.853835	1.070254	0.605679	1.606189	1.249241	0.88559
XLOC_018642	TCONS_00056637	3.651087	3.652468	3.996905	3.901189	4.463086	4.359791	3.625579	3.886577	3.897953
XLOC_018644	TCONS_00056638	334.466553	329.536499	321.119812	369.5625	371.96048	363.583405	400.593109	372.942352	370.88205
XLOC_018645	TCONS_00056639	7.558942	8.867537	9.122388	8.941587	8.474079	10.060309	11.999373	12.418584	12.903966
XLOC_018646	TCONS_00056640	3.038297	3.393259	2.989429	3.193464	3.207351	3.157566	1.611969	2.308796	2.06676
XLOC_018646	TCONS_00056641	9.449513	9.838101	11.330597	15.252749	10.826861	11.205238	11.582376	11.954861	13.249169
XLOC_018646	TCONS_00056642	7.577759	10.664542	9.174385	9.493871	12.13301	11.051933	11.52171	13.079461	13.181063
XLOC_018648	TCONS_00056645	1.182228	0.958164	0.978478	1.447089	1.41438	1.122623	0.883234	1.240183	1.102699
XLOC_018649	TCONS_00056646	5.793031	7.532312	7.91044	13.905309	13.676944	12.069367	8.137546	8.563118	7.889476
XLOC_018654	TCONS_00056650	8.076105	7.925335	9.69052	13.246152	10.974276	10.746996	11.071445	10.37585	10.463121
